Rank,Username,Score
1,Marco Cheng,"5,315"
2,mr. Arman (梦想),"5,200"
3,Patteera Triamamornwooth,"4,735"
4,ТЕМА 2003,"4,280"
5,DhanushKumar .R,"4,200"
6,PythonPPP,"4,195"
7,Alexander Krylov,"3,985"
8,StoatScript,"3,960"
9,Lado Turmanidze (Stochastic Batman),"3,885"
10,Wulin,"3,770"
11,1nkik H,"3,725"
12,hiddenneuron,"3,685"
13,N R,"3,685"
14,Siva Morgan,"3,660"
15,Jiongran Wang,"3,630"
16,Jiarui Cui,"3,575"
17,shongpapa80,"3,550"
18,Mahdi Farmahini Farahani,"3,545"
19,trangstalbergle,"3,476"
20,Junang Li,"3,440"
21,Niels van Galen Last,"3,440"
22,Anh Tú Ngô,"3,425"
23,ZhangJY,"3,350"
24,Breeze Chen,"3,280"
25,Lea Wron,"3,245"
26,ajay gangwar,"3,105"
27,Salim Beyden,"3,038.5"
28,Emanuel-Florin Ciobotea,"2,955"
29,Алексей Панарин,"2,945"
30,Kuat Kurpenov,"2,845"
31,SantaClaus,"2,825"
32,antonoof,"2,780"
33,Youshaa Murhij,"2,780"
34,BY,"2,695"
35,GlaDiaTor,"2,690"
36,Maksym Koval,"2,605.5"
37,Anirudh Senani,"2,570"
38,Aman Rangapur,"2,555"
39,PAT,"2,535"
40,mavleo96,"2,535"
41,anian.ruoss,"2,526.5"
42,jwu456789,"2,520"
43,Haolun Zhang,"2,510"
44,caesar,"2,505"
45,automorphing,"2,455"
46,Pavel,"2,420"
47,Mythri Shivakumar,"2,420"
48,1773703527,"2,412"
49,Yuzhou Chen,"2,410"
50,Linxuan XIE,"2,410"
51,Дмитрий,"2,400"
52,Tushar aggarwal,"2,385"
53,Mako,"2,380"
54,yd.nan,"2,372.8"
55,katam madhumitha,"2,370"
56,Vick Mahase,"2,345"
57,Shi-Wei Zhou,"2,325"
58,soumit saha,"2,300"
59,Xiao Lei Zhang,"2,295"
60,atoms-iambics.4i,"2,265"
61,Márcio Pereira,"2,265"
62,Stephen zhao,"2,255"
63,Sudheesh Singanamalla,"2,245"
64,747893812,"2,245"
65,Nabeel Raza,"2,220"
66,bebeshka,"2,190"
67,Zeyuan Li,"2,150"
68,xin yin,"2,147"
69,ps,"2,125"
70,Côme,"2,125"
71,romil797,"2,120"
72,callrmshetty,"2,102.5"
73,Kapish Luhariwala,"2,090"
74,Maksim Nikolin,"2,073"
75,hg1169,"2,060"
76,Anshuman Sahu,"2,040"
77,nick.volynets,"2,025"
78,yang_mingxin,"2,020"
79,s233036,"2,015"
80,Alper Karaca,"2,000"
81,Aarohi Bhand,"1,995"
82,Arnas Gercas,"1,990"
83,Aykut Çayır,"1,985"
84,Shooshi,"1,980"
85,Kartik Mathur,"1,970"
86,SAHAYA ASHIK LIBU,"1,950"
87,Li Le,"1,945"
88,Kacper Urban,"1,935"
89,NIESCHAL GHOSH,"1,910"
90,0x researcher,"1,890"
91,Ma Al,"1,865"
92,Chi Yang,"1,860.5"
93,Shubh Goyal,"1,860"
94,Egor Kashkarov,"1,835"
95,Wenxuan Dai,"1,825"
96,peter.metalfreak,"1,820"
97,Qiujiang Jin,"1,810"
98,Kyle Zhou,"1,805"
99,王思钰,"1,791"
100,cynthiaxue2018,"1,790"
